contrast_family,contrast_id,fixed_parameter,level_from,level_to,paired_mean_difference,paired_sd,paired_mcse,ci_lower,ci_upper,direction_agreement_rate,exact_zero_rate,non_finite_count,shared_seed_count,expected_direction,is_primary_contrast,primary_contrast_half_width,primary_contrast_relative_half_width,monte_carlo_precision_gate,run_id,run_tier,paper_result,experiment_id,module_id,analysis_tier,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
route_label_rate,q_0.3_to_0.7__sigma_1,sigma_proxy=1,0.3,0.7,-0.061492448988149324,0.004024164036704246,0.00040241640367042457,-0.06229557714285504,-0.060736792862957904,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.7_to_1__sigma_1,sigma_proxy=1,0.7,1.0,-0.05322496660151959,0.0034146009615449303,0.00034146009615449303,-0.05390361937550101,-0.052548544714067585,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0_to_0.1__q_0,q_route=0,0.0,0.1,0.0005304369683626614,0.0002766278500432289,2.7662785004322888e-05,0.000476856740602511,0.0005841474870380329,0.97,0.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0.1_to_0.25__q_0,q_route=0,0.1,0.25,0.003058171005280252,0.0004564704625451576,4.564704625451576e-05,0.0029637643275014247,0.0031404313857976906,1.0,0.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0.25_to_1__q_0,q_route=0,0.25,1.0,0.0645471503788059,0.004342393379174446,0.0004342393379174446,0.06372947555612715,0.0654186281102006,1.0,0.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0_to_0.1__q_0.3,q_route=0.3,0.0,0.1,0.00043732447344604957,0.000240863773398313,2.40863773398313e-05,0.00039256362022776505,0.00048430178812013623,0.95,0.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0.1_to_0.25__q_0.3,q_route=0.3,0.1,0.25,0.0025004345266138907,0.00041741523567461614,4.1741523567461615e-05,0.0024129039401002508,0.002580702777102403,1.0,0.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0.25_to_1__q_0.3,q_route=0.3,0.25,1.0,0.05026531748846127,0.00387292196059548,0.000387292196059548,0.0495226399023122,0.050986569864548574,1.0,0.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0_to_0.1__q_0.7,q_route=0.7,0.0,0.1,0.00023635480937032346,0.0001856816238686786,1.856816238686786e-05,0.00019898614329473576,0.00027119373382538563,0.89,0.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0.1_to_0.25__q_0.7,q_route=0.7,0.1,0.25,0.0012857075561154437,0.00032786667117712436,3.278666711771244e-05,0.001220024253293319,0.0013486747981277323,1.0,0.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0.25_to_1__q_0.7,q_route=0.7,0.25,1.0,0.02408559233329288,0.0026500009792620647,0.00026500009792620647,0.023570108357157445,0.02458573282959329,1.0,0.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0_to_0.1__q_1,q_route=1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0.1_to_0.25__q_1,q_route=1,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
proxy_noise_sd,sigma_0.25_to_1__q_1,q_route=1,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,100,increase,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
