contrast_family,expected_direction,contrast_count,mean_direction_agreement,minimum_direction_agreement,mean_exact_zero_rate,run_id,run_tier,paper_result,experiment_id,module_id,analysis_tier,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
proxy_noise_sd,increase,12,0.7341666666666667,0.0,0.25,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,diagnostic,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,decrease,12,1.0,1.0,0.0,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,diagnostic,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
