mechanism_id,mechanism,mean_delay
zero_delay,Zero delay,0
exact_valid_shift,Exact-cardinal-valid shift,14.970849673202611
geometric_delay,Geometric delay,14.970849673202611
mixture_delay,Mixture delay,14.97058823529412
state_coupled_delay,State-coupled delay,14.902045751633986
systematic_misbinding,Systematic misbinding,15
