experiment_id,mode,config_hash,delay_setting,method,n_seeds,mean_final_Rc,std_final_Rc,se_final_Rc,ci95_low,ci95_high,mean_gain_vs_naive_pct,gain_ci95_low,gain_ci95_high
toy,full,d58591a6ee,0_delay,causal_labelled,30,284.6588758735125,42.087882644637155,7.684160907365985,269.5979204950752,299.7198312519498,0.0,0.0,0.0
toy,full,d58591a6ee,0_delay,naive,30,284.6588758735125,42.087882644637155,7.684160907365985,269.5979204950752,299.7198312519498,NA,NA,NA
toy,full,d58591a6ee,0_delay,oracle,30,0.0,0.0,0.0,0.0,0.0,NA,NA,NA
toy,full,d58591a6ee,geom_0.15,causal_labelled,30,370.93302321782136,57.862556149364885,10.56420907930547,350.22717342238263,391.6388730132601,41.375665370184294,38.05278583592484,44.69854490444375
toy,full,d58591a6ee,geom_0.15,naive,30,636.5084662519758,68.25618723347193,12.461817812356239,612.0833033397577,660.933629164194,NA,NA,NA
toy,full,d58591a6ee,geom_0.15,oracle,30,0.0,0.0,0.0,0.0,0.0,NA,NA,NA
toy,full,d58591a6ee,mixed_geom_0.6+0.1_w0.2,causal_labelled,30,371.0788591797305,54.3277484160931,9.918844435319917,351.63792408650346,390.51979427295754,37.61614683537837,34.207558845869464,41.02473482488728
toy,full,d58591a6ee,mixed_geom_0.6+0.1_w0.2,naive,30,601.90417178615,93.51016810792042,17.07254280960273,568.4419878793286,635.3663556929713,NA,NA,NA
toy,full,d58591a6ee,mixed_geom_0.6+0.1_w0.2,oracle,30,0.0,0.0,0.0,0.0,0.0,NA,NA,NA
toy,full,d58591a6ee,piece_0.6to0.15,causal_labelled,30,334.83832085799935,55.0718631077046,10.054700569308789,315.13110774215414,354.54553397384456,40.88871045360767,37.957355397986035,43.82006550922931
toy,full,d58591a6ee,piece_0.6to0.15,naive,30,567.4723167889383,62.49571708462983,11.410104664904251,545.108511645726,589.8361219321506,NA,NA,NA
toy,full,d58591a6ee,piece_0.6to0.15,oracle,30,0.0,0.0,0.0,0.0,0.0,NA,NA,NA
