experiment_id,mode,config_hash,run_id,seed,delay_setting,method,T,K,D_max,mean_delay,median_delay,p90_delay,max_delay,arrival_rate,censor_rate,ranking_reversal_rate,source_state_distance_mean,source_state_distance_sum,source_state_distance_p90,final_Rc,normalized_final_Rc,auc_causal_regret,mean_instant_causal_regret,gain_vs_naive,gain_vs_naive_pct,runtime_seconds
toy,full,d58591a6ee,toy_full_d58591a6ee_geom_0.15_naive_s001,1,geom_0.15,naive,2000,5,10,6.628,5.0,15.0,49,0.7995,0.2005,0.31957473420888055,0.14713413367452693,235.26747974556858,0.3142335554735389,628.59831363879,0.314299156819395,358.62718391838183,0.314299156819395,NA,NA,0.02555400000028385
toy,full,d58591a6ee,toy_full_d58591a6ee_geom_0.15_causal_labelled_s001,1,geom_0.15,causal_labelled,2000,5,10,6.628,5.0,15.0,49,0.7995,0.2005,0.31957473420888055,0.14713413367452693,235.26747974556858,0.3142335554735389,323.58193275877613,0.16179096637938806,163.442941548721,0.16179096637938806,305.0163808800139,48.52325789968389,0.02636290000009467
toy,full,d58591a6ee,toy_full_d58591a6ee_piece_0.6to0.15_oracle_s001,1,piece_0.6to0.15,oracle,2000,5,10,4.2925,2.0,11.0,42,0.8925,0.1075,0.25882352941176473,0.12277996567695895,219.16223873337174,0.26914155559594183,0.0,0.0,0.0,0.0,NA,NA,0.020138399999723333
toy,full,d58591a6ee,toy_full_d58591a6ee_piece_0.6to0.15_naive_s001,1,piece_0.6to0.15,naive,2000,5,10,4.2925,2.0,11.0,42,0.8925,0.1075,0.25882352941176473,0.12277996567695895,219.16223873337174,0.26914155559594183,526.9205056326763,0.2634602528163381,247.61514117765796,0.2634602528163381,NA,NA,0.05343750000020009
toy,full,d58591a6ee,toy_full_d58591a6ee_piece_0.6to0.15_causal_labelled_s001,1,piece_0.6to0.15,causal_labelled,2000,5,10,4.2925,2.0,11.0,42,0.8925,0.1075,0.25882352941176473,0.12277996567695895,219.16223873337174,0.26914155559594183,309.6089106254078,0.1548044553127039,163.23111999534564,0.1548044553127039,217.31159500726847,41.24181782341935,0.022140699999908975
toy,full,d58591a6ee,toy_full_d58591a6ee_mixed_geom_0.6+0.1_w0.2_oracle_s001,1,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,8.278,5.0,20.0,67,0.7175,0.2825,0.3010452961672474,0.14336622318112102,205.73053026490865,0.3051353332455902,0.0,0.0,0.0,0.0,NA,NA,0.019940700000006473
toy,full,d58591a6ee,toy_full_d58591a6ee_mixed_geom_0.6+0.1_w0.2_naive_s001,1,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,8.278,5.0,20.0,67,0.7175,0.2825,0.3010452961672474,0.14336622318112102,205.73053026490865,0.3051353332455902,738.3122582278797,0.36915612911393986,396.7234623449642,0.36915612911393986,NA,NA,0.023859199999606062
toy,full,d58591a6ee,toy_full_d58591a6ee_mixed_geom_0.6+0.1_w0.2_causal_labelled_s001,1,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,8.278,5.0,20.0,67,0.7175,0.2825,0.3010452961672474,0.14336622318112102,205.73053026490865,0.3051353332455902,349.695693361381,0.1748478466806905,155.14648898155417,0.1748478466806905,388.6165648664987,52.63580016933058,0.025355100000069797
toy,full,d58591a6ee,toy_full_d58591a6ee_0_delay_oracle_s002,2,0_delay,oracle,2000,5,10,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,0.024698799999896437
toy,full,d58591a6ee,toy_full_d58591a6ee_0_delay_naive_s002,2,0_delay,naive,2000,5,10,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,186.03691199960963,0.09301845599980481,95.04103150294883,0.09301845599980481,NA,NA,0.026431700000102865
