record_type,comparison,route_left,route_right,variant,full_sample_support_count,bootstrap_support_min,bootstrap_support_mean,bootstrap_support_median,bootstrap_support_max,bootstrap_support_sd,number_of_unique_support_counts,point_estimate_tau,bootstrap_tau_mean,bootstrap_tau_median,bootstrap_tau_ci_lower,bootstrap_tau_ci_upper,point_inside_ci,fraction_nan_tau,fraction_constant_vector,fraction_zero_mass_vector,left_unique_score_count_min,left_unique_score_count_mean,right_unique_score_count_min,right_unique_score_count_mean,runtime_seconds
arrival_displacement,first_touch vs arrival_bin_anchor,arrival_bin_anchor,first_touch,A_current_replicate_support,3866,2898,2967.201,2967.0,3042,22.314401886036105,120,0.1155956077218756,0.0556449820882161,0.055702887800060746,0.032275301099530425,0.07969036334904178,False,0.0,0.0,0.0,438,458.45,2196,2266.099,1.4051831000106176
arrival_displacement,first_touch vs arrival_bin_anchor,arrival_bin_anchor,first_touch,B_frozen_full_sample_support,3866,3866,3866.0,3866.0,3866,0.0,1,0.1155956077218756,0.12150825945468621,0.12134043037490568,0.10043871459439654,0.14158961007945728,True,0.0,0.0,0.0,438,458.45,2196,2266.099,1.4255658999318257
arrival_displacement,last_touch vs arrival_bin_anchor,arrival_bin_anchor,last_touch,A_current_replicate_support,3118,2335,2400.685,2401.0,2464,20.360263144549858,102,0.2613701646962087,0.21564699907265047,0.21574324318124177,0.19238582234865648,0.24074565210284649,False,0.0,0.0,0.0,438,458.45,1877,1924.626,1.1887585999647854
arrival_displacement,last_touch vs arrival_bin_anchor,arrival_bin_anchor,last_touch,B_frozen_full_sample_support,3118,3118,3118.0,3118.0,3118,0.0,1,0.2613701646962087,0.2578142781544041,0.2577723893741313,0.2376102915044221,0.2781927815063538,True,0.0,0.0,0.0,438,458.45,1877,1924.626,1.2619180999972741
arrival_displacement,linear_credit vs arrival_bin_anchor,arrival_bin_anchor,linear_credit,A_current_replicate_support,5206,3964,4077.093,4076.0,4228,42.29202012160173,192,0.204822687865117,0.17056995272033756,0.17060946719891468,0.15074057810680033,0.1907265171754851,False,0.0,0.0,0.0,438,458.45,3369,3477.595,1.4138991001746035
arrival_displacement,linear_credit vs arrival_bin_anchor,arrival_bin_anchor,linear_credit,B_frozen_full_sample_support,5206,5206,5206.0,5206.0,5206,0.0,1,0.204822687865117,0.1982947822965161,0.19807368857757618,0.1819335537801951,0.21459274632957165,True,0.0,0.0,0.0,438,458.45,3369,3477.595,1.5967985000752378
arrival_displacement,time_decay_credit vs arrival_bin_anchor,arrival_bin_anchor,time_decay_credit,A_current_replicate_support,5206,3964,4077.093,4076.0,4228,42.29202012160173,192,0.2304445185268714,0.20238020441863036,0.20223408611103616,0.18220728467221897,0.2222547075004885,False,0.0,0.0,0.0,438,458.45,3734,3850.068,1.4026662000469514
arrival_displacement,time_decay_credit vs arrival_bin_anchor,arrival_bin_anchor,time_decay_credit,B_frozen_full_sample_support,5206,5206,5206.0,5206.0,5206,0.0,1,0.2304445185268714,0.22082953022005325,0.22060224549848892,0.20396839374358747,0.23722666803604936,True,0.0,0.0,0.0,438,458.45,3734,3850.068,1.5265153999789618
source_route_pair,first_touch vs last_touch,first_touch,last_touch,A_current_replicate_support,4177,3124,3194.951,3195.0,3281,26.161097110060233,131,0.298453140541172,0.2666008862456145,0.26683059607961523,0.24451053181358065,0.28930656264247495,False,0.0,0.0,0.0,2196,2266.099,1877,1924.626,1.5037254000126268
source_route_pair,first_touch vs last_touch,first_touch,last_touch,B_frozen_full_sample_support,4177,4177,4177.0,4177.0,4177,0.0,1,0.298453140541172,0.4292197618234126,0.42963054076674057,0.40745008853885534,0.450253598302066,False,0.0,0.0,0.0,2196,2266.099,1877,1924.626,1.6587427000631578
source_route_pair,first_touch vs linear_credit,first_touch,linear_credit,A_current_replicate_support,5106,3848,3966.369,3965.0,4117,41.87161414456184,192,0.6044263768055713,0.5829998581276079,0.5831528206675147,0.5680326679106952,0.5971461913300218,False,0.0,0.0,0.0,2196,2266.099,3368,3476.595,1.66715750003641
