metric_id,point_estimate,finite_resampling_count,resampling_mean,resampling_median,resampling_sd,resampling_bias,absolute_bias_over_sd,sensitivity_range_level,sensitivity_range_method,sensitivity_lower,sensitivity_upper,point_inside_sensitivity_range,formal_ci_validated,legacy_basic_lower_audit_only,legacy_basic_upper_audit_only,point_inside_legacy_basic_audit,parameter_lower_bound,parameter_upper_bound,object_type,object_id
pooled_supported_cell_spearman,0.6101603752392624,1000,0.5106079462591394,0.5107505148885543,0.049472540039158845,-0.09955242898012295,2.012276485123354,0.95,percentile_user_cluster_sensitivity,0.4085818320001319,0.597928714443564,False,False,0.6223920360349607,0.8117389184783929,False,-1.0,1.0,route_metric,arrival_carrier
pooled_supported_cell_mae,0.12848864990088651,1000,0.16688028569903865,0.1666539489672505,0.006357706100901897,0.038391635798152135,6.038598700356083,0.95,percentile_user_cluster_sensitivity,0.15507264174296642,0.17937959006806573,False,False,0.0775977097337073,0.10190465805880661,False,0.0,,route_metric,arrival_carrier
exposure_weighted_supported_cell_mae,0.1182977202169598,1000,0.15511706486683313,0.1549797264476125,0.006723928679269364,0.036819344649873326,5.475867815700001,0.95,percentile_user_cluster_sensitivity,0.14221908043090897,0.16834142528350216,False,False,0.06825401515041746,0.09437636000301064,False,0.0,,route_metric,arrival_carrier
within_audit_unit_centered_spearman,0.6588906596340963,1000,0.5413584898633355,0.54260518781451,0.04120101512664316,-0.11753216977076086,2.8526522807627908,0.95,percentile_user_cluster_sensitivity,0.455908136125031,0.6138538636789681,False,False,0.7039274555892245,0.8618731831431616,False,-1.0,1.0,route_metric,arrival_carrier
calibration_intercept,1.1750988703232068,1000,1.4926976012357864,1.4917129830293572,0.14930991040676728,0.3175987309125796,2.1271108531733796,0.95,percentile_user_cluster_sensitivity,1.2123228206921488,1.7959899032526072,False,False,0.5542078373938064,1.1378749199542648,False,,,route_metric,arrival_carrier
calibration_slope,0.612848673438704,1000,0.5088680157606743,0.5092680500663129,0.04902576683724713,-0.10398065767802966,2.1209389344835454,0.95,percentile_user_cluster_sensitivity,0.41066142205867817,0.5999309405069503,False,False,0.6257664063704577,0.8150359248187298,False,,,route_metric,arrival_carrier
maximum_heldout_reference_pair_gap_error,0.6417907610969317,1000,0.795389865601843,0.7948759074569924,0.038724099287265605,0.15359910450491132,3.9664990879574127,0.95,percentile_user_cluster_sensitivity,0.7221834149759886,0.8700745733286283,False,False,0.4135069488652351,0.5613981072178748,False,0.0,,route_metric,arrival_carrier
mean_absolute_reference_pair_gap_error,0.27119478041175066,1000,0.34241393834404876,0.34161028519502257,0.021208008043430423,0.0712191579322981,3.3581257507283704,0.95,percentile_user_cluster_sensitivity,0.30220919255447437,0.3854512509525039,False,False,0.15693830987099744,0.24018036826902694,False,0.0,,route_metric,arrival_carrier
p90_absolute_reference_pair_gap_error,0.4779005603322516,1000,0.5983992953446371,0.5972026519876303,0.031368683244683455,0.1204987350123855,3.841370518247951,0.95,percentile_user_cluster_sensitivity,0.5385829778057923,0.6633828871218689,False,False,0.2924182335426343,0.41721814285871084,False,0.0,,route_metric,arrival_carrier
heldout_reference_pair_sign_agreement,0.764631949375621,1000,0.6809826177382736,0.681947663568953,0.03573722006371026,-0.08364933163734734,2.340678191762597,0.95,percentile_user_cluster_sensitivity,0.6103603297167483,0.7512956310235779,False,False,0.777968267727664,0.9189035690344937,False,0.0,1.0,route_metric,arrival_carrier
near_tie_pair_share,0.05447209145931405,1000,0.056769447742461,0.05682237504193224,0.0075794145825309085,0.0022973562831469507,0.30310471318483023,0.95,percentile_user_cluster_sensitivity,0.043246973770481006,0.07153954136064505,True,False,0.03740464155798305,0.0656972091481471,True,0.0,1.0,route_metric,arrival_carrier
signed_cross_fitted_reference_minus_route_value_difference,0.005487328408258738,1000,0.025770992606151528,0.02588515431202664,0.029793769084792227,0.02028366419789279,0.6808022221077854,0.95,percentile_user_cluster_sensitivity,-0.03141126821765624,0.0833488905412158,True,False,-0.07237423372469833,0.04238592503417372,True,,,route_metric,arrival_carrier
top_action_agreement_with_fold_reference,0.3352941176470588,1000,0.2807058823529412,0.2823529411764706,0.05097278216950645,-0.054588235294117604,1.0709290913842648,0.95,percentile_user_cluster_sensitivity,0.18235294117647058,0.38235294117647056,True,False,0.28823529411764703,0.488235294117647,True,0.0,1.0,route_metric,arrival_carrier
pooled_supported_cell_spearman,0.714376437546001,1000,0.6113910055008929,0.6166086587882681,0.050567683133177624,-0.10298543204510813,2.036585931253375,0.95,percentile_user_cluster_sensitivity,0.5012951793950245,0.6992475576217799,False,False,0.7295053174702221,0.9274576956969774,False,-1.0,1.0,route_metric,history_mean_control
pooled_supported_cell_mae,0.10606071258367834,1000,0.1380356177065878,0.1370792802577994,0.00901551920440011,0.031974905122909444,3.5466515458481624,0.95,percentile_user_cluster_sensitivity,0.12256828383914443,0.15804105989916517,False,False,0.054080365268191516,0.08955314132821225,False,0.0,,route_metric,history_mean_control
exposure_weighted_supported_cell_mae,0.09942487682946231,1000,0.131100901626196,0.1297660811893448,0.010232078588779007,0.03167602479673369,3.0957565974396593,0.95,percentile_user_cluster_sensitivity,0.11449978507542498,0.15429803086831814,False,False,0.044551722790606485,0.08434996858349965,False,0.0,,route_metric,history_mean_control
within_audit_unit_centered_spearman,0.8141332905831014,1000,0.7215504502333658,0.7219948748885531,0.029314786413822458,-0.09258284034973552,3.158230083712328,0.95,percentile_user_cluster_sensitivity,0.6564549334003489,0.7764676570810763,False,False,0.8517989240851264,0.9718116477658538,False,-1.0,1.0,route_metric,history_mean_control
calibration_intercept,0.6279879760423562,1000,0.6433634046991468,0.6287219865262462,0.2535515761353619,0.015375428656790535,0.060640240897505436,0.95,percentile_user_cluster_sensitivity,0.17132545600536253,1.146861972228062,True,False,0.1091139798566505,1.08465049607935,True,,,route_metric,history_mean_control
calibration_slope,0.7980502082839089,1000,0.7925109444165772,0.7959619205039028,0.08257935396587704,-0.005539263867331723,0.06707807219732702,0.95,percentile_user_cluster_sensitivity,0.626272174234725,0.9456705223157554,True,False,0.6504298942520624,0.9698282423330928,True,,,route_metric,history_mean_control
